"helper","receiver","helper.sex","helper.type","receiver.sex","kinship","help.rate","dyad","reciprocal.dyad","udyad","reciprocal.help.rate"
"B-40917","B-40918","F","Immigrant Female","F",-0.0241,0,"B-40917-->B-40918","B-40918-->B-40917","B-40917_B-40918",0.000617283950617284
"B-40917","B-40938","F","Immigrant Female","F",-0.1738,0.0683333333333333,"B-40917-->B-40938","B-40938-->B-40917","B-40917_B-40938",0
"B-40917","B-41246","F","Immigrant Female","F",0.1107,0.00791245791245791,"B-40917-->B-41246","B-41246-->B-40917","B-40917_B-41246",0
"B-40917","B-41360","F","Immigrant Female","F",0.3325,0.0143518518518519,"B-40917-->B-41360","B-41360-->B-40917","B-40917_B-41360",0.0182539682539683
"B-40917","BB-0186","F","Immigrant Female","F",0.0871,0,"B-40917-->BB-0186","BB-0186-->B-40917","B-40917_BB-0186",0
"B-40917","BB-4202","F","Immigrant Female","F",-0.0648,0.0276515151515152,"B-40917-->BB-4202","BB-4202-->B-40917","B-40917_BB-4202",0
"B-40917","BB-4205","F","Immigrant Female","F",0.1218,0,"B-40917-->BB-4205","BB-4205-->B-40917","B-40917_BB-4205",0.0173611111111111
"B-40917","BB-4258","F","Immigrant Female","F",-0.1544,0.00555555555555556,"B-40917-->BB-4258","BB-4258-->B-40917","B-40917_BB-4258",NA
"B-40917","BB-6628","F","Immigrant Female","F",-0.0166,0,"B-40917-->BB-6628","BB-6628-->B-40917","B-40917_BB-6628",0
"B-40917","BB-6659","F","Immigrant Female","F",0.0911,0,"B-40917-->BB-6659","BB-6659-->B-40917","B-40917_BB-6659",0.0305555555555556
"B-40917","BB-6768","F","Immigrant Female","F",0.0042,0.155555555555556,"B-40917-->BB-6768","BB-6768-->B-40917","B-40917_BB-6768",0.0129310344827586
"B-40917","BB-9350","F","Immigrant Female","F",-0.3772,0.2,"B-40917-->BB-9350","BB-9350-->B-40917","B-40917_BB-9350",0.0266666666666667
"B-40917","BB-9356","F","Immigrant Female","F",0.2122,0,"B-40917-->BB-9356","BB-9356-->B-40917","B-40917_BB-9356",0
"B-40918","B-40917","F","Immigrant Female","F",-0.0241,0.000617283950617284,"B-40918-->B-40917","B-40917-->B-40918","B-40917_B-40918",0
"B-40918","B-41246","F","Immigrant Female","F",0.1701,0,"B-40918-->B-41246","B-41246-->B-40918","B-40918_B-41246",NA
"B-40918","B-41360","F","Immigrant Female","F",0.0838,0,"B-40918-->B-41360","B-41360-->B-40918","B-40918_B-41360",0.141666666666667
"B-40918","BB-0186","F","Immigrant Female","F",-0.0835,0,"B-40918-->BB-0186","BB-0186-->B-40918","B-40918_BB-0186",0
