nest,nest_success
02-MRC-3-1,no
02-MRC-3-1,no
02-MRC-3-1,no
02-MRC-3-1,no
02-MRC-3-1,no
02-MRC-3-1,no
02-MRC-3-1,no
02-MRC-3-1,no
02-SRB1-1-1,yes
02-SRB1-1-1,yes
02-SRB1-1-1,yes
02-SRB1-1-1,yes
02-SRB1-1-1,yes
02-SRB1-1-1,yes
02-SRB1-1-1,yes
02-SRB1-2-1,no
02-SRB1-2-1,no
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-CF2-2-1,no
02-CF2-2-1,no
02-CF2-2-1,no
02-WDB-1-1,no
02-WDB-1-1,no
02-WDB-1-1,no
02-WDB-1-1,no
02-WDB-1-1,no
02-SRB1-1-1,yes
02-SRB1-1-1,yes
02-SRB1-1-1,yes
02-SRB1-1-1,yes
02-SRB1-1-1,yes
02-SRB1-1-1,yes
02-SRB1-1-1,yes
02-SRB1-1-1,yes
02-SRB1-1-1,yes
02-SRB1-1-1,yes
02-SRB1-1-1,yes
02-SRB1-1-1,yes
02-SRB1-1-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT2-3-1,no
02-DRT2-3-1,no
02-DRT2-3-1,no
02-DRT2-3-1,no
02-DRT2-3-1,no
02-DRT2-3-1,no
02-DRT2-3-1,no
02-DRT2-3-1,no
02-DRT2-3-1,no
02-DRT2-3-1,no
02-DRT2-3-1,no
02-DRT2-3-1,no
02-DRT2-3-1,no
02-DRT2-3-1,no
02-DRT2-3-1,no
02-DRT2-3-1,no
02-DRT2-3-1,no
02-DRT2-3-1,no
02-DRT2-3-1,no
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT2-3-1,no
02-DRT2-3-1,no
02-DRT2-3-1,no
02-MRC-2-1,yes
02-MRC-2-1,yes
02-MRC-2-1,yes
02-MRC-2-1,yes
02-MRC-2-1,yes
02-MRC-2-1,yes
02-MRC-2-1,yes
