"","Model","Sample","Coefficient","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","N_observations","N_birds"
"1","nepotism","all","kinship",0.566394028840533,0.076277205553061,0.416894138058053,0.714934230366001,1.00012204284492,13072.7754380334,11841.0214980125,25398,738
"2","nepotism","immigrant females","kinship",0.124989574232946,0.175199803085054,-0.216937174760746,0.469253224144615,1.0006622417499,8386.49048370685,10580.475230582,5684,195
"3","nepotism","immigrant males","kinship",0.409599624330722,0.201238348526486,0.0234770002686859,0.807636359213686,0.999957926815759,11817.3710048688,11964.5364187748,3218,92
"4","nepotism","resident males","kinship",0.995633195952991,0.130564544679348,0.74518254917982,1.25394663373251,1.00029625158745,11375.9069754244,11464.8292233734,6958,186
"5","nepotism","resident females","kinship",0.5005001084432,0.201061299540977,0.111714797048335,0.896345874455666,1.00013585384577,19592.3507043173,13087.7739171389,4437,154
"6","reciprocity","all","reciprocal help",1.22813326640577,0.239830845210794,0.766578773609827,1.71036158560756,1.0002563347106,5570.49330392473,8370.07733501798,25398,233
"7","reciprocity","immigrant females","reciprocal help",1.97819729192297,0.435860906656713,1.14329369468426,2.86320316648819,0.999872477237558,8359.5006268029,10196.7936360944,3276,112
"8","reciprocity","immigrant males","reciprocal help",2.01282326849295,0.516998084279735,1.01889083728349,3.05970527682213,1.0000974919368,9417.95408440001,10514.1454979154,1731,44
"9","reciprocity","resident males","reciprocal help",0.726167184363443,0.443321764519915,-0.138661121446147,1.59611166479416,0.999896978180735,13966.5365223433,12399.7210136856,1410,35
"10","reciprocity and nepotism","all","reciprocal help",0.995960253945605,0.241991764179367,0.523592626422616,1.47058252543443,1.00039860371343,6341.27506176138,8806.25633934885,25398,225
"11","reciprocity and nepotism","all","kinship",0.609375959419574,0.122649364258139,0.368546759886649,0.85147647116666,0.999908782345887,5755.45808635109,8936.04860155262,25398,225
"12","reciprocity and nepotism","immigrant females","reciprocal help",1.10182062664334,1.19361562784674,-0.850669696749235,2.61082387606281,1.54493914529422,6.99898429392762,18.7718982797819,3084,107
"13","reciprocity and nepotism","immigrant females","kinship",0.424785871949227,0.33927934591773,-0.138608750904542,0.908212532963202,1.52872604888348,7.14724400933159,19.7340480629013,3084,107
"14","reciprocity and nepotism","immigrant males","reciprocal help",1.95930337714865,0.539434013709917,0.917733861605558,3.03442506762092,1.00026785437024,10598.6594566587,10487.9512352062,1673,41
"15","reciprocity and nepotism","immigrant males","kinship",0.296620808030494,0.26723367654022,-0.228194595739708,0.820490109711984,1.00030280855456,10195.5166807473,12750.104987845,1673,41
"16","reciprocity and nepotism","resident males","reciprocal help",0.285587301732817,0.430561237677303,-0.551261440559141,1.13013550934726,1.00056384406216,13932.2772462719,12319.7263202752,1410,35
"17","reciprocity and nepotism","resident males","kinship",1.34548521044784,0.236535314870015,0.892802031849865,1.82059799210112,1.00123612399845,12240.9272644715,11081.2242208678,1410,35
"18","reciprocity x nepotism interaction","all","reciprocal help",0.995086136741828,0.242817497278997,0.514076307676789,1.47721036784483,1.0002600315061,9033.96617884538,9733.48383325826,25398,225
"19","reciprocity x nepotism interaction","all","kinship",0.638618514783425,0.174933144809425,0.303070892179297,0.986833512381535,1.00007023977249,7243.63757595465,9679.80225465234,25398,225
"20","reciprocity x nepotism interaction","all","reciprocal help x kinship interaction",-0.0497213344064788,0.22313453901939,-0.483851302176498,0.389070511175461,0.999983870228866,7322.80530401569,9950.07397359267,25398,225
"21","reciprocity x nepotism interaction","immigrant females","reciprocal help",1.74062952383569,0.457610543957306,0.850334627003949,2.64721172290295,1.00012382340274,7831.53652208339,9955.52179593556,3084,107
"22","reciprocity x nepotism interaction","immigrant females","kinship",0.12810254678011,0.350161494825673,-0.555272153472146,0.819040072074488,0.999996961393877,6675.49626762389,9428.24529375484,3084,107
"23","reciprocity x nepotism interaction","immigrant females","reciprocal help x kinship interaction",0.226309914224823,0.433766929374647,-0.613998120931872,1.09875965620589,1.00044442267515,6318.75511267347,8746.97432297411,3084,107
"24","reciprocity x nepotism interaction","immigrant males","reciprocal help",2.0345429280016,0.546192684596887,0.976635573552574,3.12949759635803,0.999946842849766,12045.9702902184,11362.7637256281,1673,41
"25","reciprocity x nepotism interaction","immigrant males","kinship",0.644587205618676,0.364274729003633,-0.0602596168764672,1.37648212652979,1.00026045261421,9437.21362049491,10796.5318381878,1673,41
"26","reciprocity x nepotism interaction","immigrant males","reciprocal help x kinship interaction",-0.76346708119661,0.531408329943455,-1.82385397024386,0.274925226116499,1.00048597666935,8988.8386517876,10311.9942991796,1673,41
"27","reciprocity x nepotism interaction","resident males","reciprocal help",0.143056981030603,0.440946527530734,-0.708460087529948,1.01406081807345,1.00014849757436,10767.5209098464,12248.554410653,1410,35
"28","reciprocity x nepotism interaction","resident males","kinship",1.05337408027009,0.317811457308887,0.450801639857292,1.68223046267072,1.00071665621214,7498.68816792247,10198.6260525361,1410,35
"29","reciprocity x nepotism interaction","resident males","reciprocal help x kinship interaction",0.606536372672516,0.432329925471985,-0.238134663967689,1.45642453355483,1.00021197133778,7542.68586135214,10829.5392189535,1410,35
