"","Model","Sample","Coefficient","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","N_observations","N_birds"
"1","nepotism","all","kinship",0.566257008226457,0.0755775471671257,0.41773321708012,0.716455979928039,0.999976625346623,13965.440074534,12488.4433655519,25398,738
"2","nepotism","immigrant females","kinship",0.123116103709416,0.174833752624148,-0.217517731121608,0.468334670898018,1.0006797425642,7948.27305286445,9911.05485854795,5684,195
"3","nepotism","immigrant males","kinship",0.408108997215832,0.201151360844656,0.0203439922740684,0.80296098183208,1.00000777233634,7286.19915674165,8331.90375295945,3218,92
"4","nepotism","resident males","kinship",0.996400523663485,0.131062547840174,0.742216880656214,1.25730271453892,1.00012869733572,11696.9882690088,10766.8009788254,6958,186
"5","nepotism","resident females","kinship",0.498105009323878,0.204098735432199,0.100919932881182,0.899245087601998,1.00014993271466,19381.8690832409,12406.0251449861,4437,154
"6","reciprocity","all","reciprocal help",1.22476281362366,0.236020695817575,0.759706627317591,1.69259179261933,1.0001543051368,8732.28217720772,10847.5096611042,25398,233
"7","reciprocity","immigrant females","reciprocal help",1.98100529517433,0.43295874641582,1.13153194666832,2.83480727390786,1.00061466865693,5743.25444310583,8656.75334039741,3276,112
"8","reciprocity","immigrant males","reciprocal help",2.01017302340788,0.511720273434708,1.01671852405245,3.03661086355849,1.00007373173789,9446.04730972233,10644.0251486039,1731,44
"9","reciprocity","resident males","reciprocal help",0.727885406205101,0.440975443053554,-0.119677205218012,1.60011951296145,1.00017403637397,12609.6188825907,12291.4290883333,1410,35
"10","reciprocity and nepotism","all","reciprocal help",0.996349298388242,0.243049956368238,0.520409006370033,1.47716145437307,1.00013472470437,7236.47140438931,10265.4502676819,25398,225
"11","reciprocity and nepotism","all","kinship",0.610402248804223,0.123949404496589,0.36742984334161,0.854814857394514,1.00092460008317,6971.1820739515,9591.25132364247,25398,225
"12","reciprocity and nepotism","immigrant females","reciprocal help",1.73363504111455,0.453932334311903,0.852224284088666,2.64125945307132,1.0004772295887,8492.82200083319,7576.06479791935,3084,107
"13","reciprocity and nepotism","immigrant females","kinship",0.260258021906696,0.221763548206945,-0.176985105236925,0.693954976608072,0.999972212417298,9623.66674455405,10374.1877341607,3084,107
"14","reciprocity and nepotism","immigrant males","reciprocal help",1.9465340366572,0.541335664658067,0.913992335412687,3.02690188060809,1.00012692073767,7393.5188971367,9734.29202821534,1673,41
"15","reciprocity and nepotism","immigrant males","kinship",0.303340923056196,0.26755806298848,-0.21706489978648,0.829043867292556,1.00016046087884,8111.53078746189,10437.6841017683,1673,41
"16","reciprocity and nepotism","resident males","reciprocal help",0.294716209958942,0.428343447697374,-0.540258200864176,1.12206628269458,1.00034069401624,11601.370064876,11802.4494851825,1410,35
"17","reciprocity and nepotism","resident males","kinship",1.34146996512895,0.236122709165879,0.887363763582009,1.81628124794492,1.0002989197601,12497.781357193,12640.6671180879,1410,35
"18","reciprocity x nepotism interaction","all","reciprocal help",0.998157704586021,0.241868947029315,0.525235122980509,1.47580828268399,1.00013852071462,7822.60294733512,9958.77923582793,25398,225
"19","reciprocity x nepotism interaction","all","kinship",0.636439807424228,0.175416511064197,0.295027933821508,0.981677506115021,1.00065693355645,5510.29244008207,8821.04039780048,25398,225
"20","reciprocity x nepotism interaction","all","reciprocal help x kinship interaction",-0.0488038778053537,0.224897261098643,-0.485039837421482,0.394186104842811,1.00043744321513,5878.16425311678,8804.26030479196,25398,225
"21","reciprocity x nepotism interaction","immigrant females","reciprocal help",1.74013406207671,0.450420893151504,0.869184407168942,2.64385957660423,1.00013414025923,12135.0124764464,12954.8410650105,3084,107
"22","reciprocity x nepotism interaction","immigrant females","kinship",0.12784933488803,0.351809441927585,-0.563780123491798,0.824140188862333,1.00055090661948,11253.9098969288,11355.5528170276,3084,107
"23","reciprocity x nepotism interaction","immigrant females","reciprocal help x kinship interaction",0.223638505006324,0.439156626002993,-0.648312578912114,1.09329180811812,1.00004352215913,10879.7620240379,11077.6956348765,3084,107
"24","reciprocity x nepotism interaction","immigrant males","reciprocal help",2.01336778934226,0.544042495450468,0.963698299823575,3.09003931553094,1.00032711142784,10856.83513672,12339.3365553794,1673,41
"25","reciprocity x nepotism interaction","immigrant males","kinship",0.640916977160393,0.364586295774807,-0.0641893708915333,1.36953455552111,1.00064854902091,9490.66888431802,10270.3992668359,1673,41
"26","reciprocity x nepotism interaction","immigrant males","reciprocal help x kinship interaction",-0.749328367829603,0.536225294702519,-1.79989950554942,0.300142709407853,1.00060764091284,8895.83740685044,10833.3186489912,1673,41
"27","reciprocity x nepotism interaction","resident males","reciprocal help",0.139407724696995,0.43992208966716,-0.735173713446802,0.997366651595164,1.00047751545072,10617.9360072099,11779.1561888829,1410,35
"28","reciprocity x nepotism interaction","resident males","kinship",1.05242988312672,0.311701260348712,0.448701855319335,1.67058894382777,1.00039241006907,8762.9843661072,9969.40794060478,1410,35
"29","reciprocity x nepotism interaction","resident males","reciprocal help x kinship interaction",0.606092120560796,0.426713000602586,-0.228515112308636,1.43714169146487,1.00058561979673,8447.6674975529,10575.4933027961,1410,35
