"","X","Estimate","Est.Error","Q2.5","Q97.5","N.seasons","N.obs","term"
"1",1,-0.0751291475443344,0.220767226514488,-0.496468190602113,0.355491421194497,1,366,"kinship"
"2",2,-13.8202524835722,15.510807010868,-50.3436941932636,2.53632319808687,1,366,"reciprocal help"
"3",3,-0.225250340323721,0.226076402472642,-0.664144695622686,0.217948814653518,2,779,"kinship"
"4",4,2.19861156443752,3.0002894038675,-3.52934511889396,8.61656175478366,2,779,"reciprocal help"
"5",5,170.846745598885,294.860434961404,0.320750465621897,681.528020414975,3,3056,"kinship"
"6",6,1.40877152653898,0.814544433645243,-0.15722003142629,3.05026828399838,3,3056,"reciprocal help"
"7",7,0.57259683391251,0.161096180574382,0.253012211291805,0.889538355935205,4,3188,"kinship"
"8",8,1.6020508725411,0.848338739109397,-0.00387419876261654,3.30069586060215,4,3188,"reciprocal help"
"9",9,0.408653416904518,0.124798671859997,0.161875920094943,0.653754052263477,5,5149,"kinship"
"10",10,0.901597560148987,0.636633262802943,-0.313558863743387,2.16607126040386,5,5149,"reciprocal help"
"11",11,0.378952262351854,0.125357386576545,0.137097649936558,0.625361889969201,6,5439,"kinship"
"12",12,0.750137656974551,0.606079345086019,-0.419183248835116,1.95816075336632,6,5439,"reciprocal help"
"13",13,0.373279113938479,0.120202673849459,0.135971695670754,0.608929272447699,7,5674,"kinship"
"14",14,-267.927531291282,465.220431988425,-1073.66209470851,1.74751634659734,7,5674,"reciprocal help"
"15",15,0.381875937554971,0.117105806124329,0.150390227189779,0.608929368156827,8,6081,"kinship"
"16",16,0.276985828703366,0.54277412402629,-0.77019964590092,1.36317936150189,8,6081,"reciprocal help"
"17",17,0.333712935245094,0.11738312499574,0.106195784647328,0.559507922401739,9,6520,"kinship"
"18",18,-0.18088250045902,1.06413126794491,-1.83430507746811,1.38665000221467,9,6520,"reciprocal help"
"19",19,0.315288137556355,0.114004768839619,0.0954358170147313,0.545508671030237,10,7489,"kinship"
"20",20,0.0597186603428694,0.502579018801355,-0.928038345730569,1.05351256177322,10,7489,"reciprocal help"
"21",21,0.330532698562331,0.111250498841882,0.108628101436171,0.549388690585906,11,8585,"kinship"
"22",22,0.456434708696428,0.475352632009026,-0.483248103730195,1.37474348498832,11,8585,"reciprocal help"
"23",23,0.328213154800129,0.112259936195255,0.112593083882688,0.544367105121863,12,8820,"kinship"
"24",24,0.348896274070425,0.477034435223903,-0.582723569013102,1.30572104780115,12,8820,"reciprocal help"
"25",25,0.27531551382199,0.113159031199995,0.0519454333611429,0.500600115815131,13,9192,"kinship"
"26",26,0.493263611882352,0.484154244470362,-0.43612823242576,1.45972963919147,13,9192,"reciprocal help"
"27",27,0.300704856164051,0.108671772194188,0.0912437264954608,0.512328229437816,14,10066,"kinship"
"28",28,0.487213776384889,0.459014390388704,-0.39928211890771,1.39093527804601,14,10066,"reciprocal help"
"29",29,0.308189959271327,0.106103860350365,0.0970067053391753,0.516295125784784,15,10423,"kinship"
"30",30,0.378964046883303,0.460415120023213,-0.536328142355128,1.28509726040961,15,10423,"reciprocal help"
